Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit
2022.02.28 23:00:00,49327173,GOLD,buy,0.05,1 910.30,1 885.08,1 930.71,2022.03.01 18:34:51,1 930.73,0.00,- 0.13, 76.61
2022.03.03 07:00:00,49431825,#Japan225,sell,0.5,26 577.50,26 714.50,26 110.59,2022.03.03 20:00:00,26 431.00,0.00,0.00, 54.93
2022.03.04 07:00:00,49479287,#Japan225,sell,0.5,25 962.80,26 420.10,25 558.22,2022.03.04 12:30:00,26 049.00,0.00,0.00,- 32.37
2022.03.07 07:00:00,49535359,#Japan225,sell,0.5,25 188.00,25 280.50,24 867.94,2022.03.07 07:15:33,25 282.20,0.00,0.00,- 35.63
2022.03.07 13:00:00,49548214,GOLD,buy,0.05,2 002.51,1 979.00,2 024.36,2022.03.07 15:19:55,1 977.09,0.00,0.00,- 96.46
2022.03.07 13:00:00,49548215,EURUSD,sell,0.5, 1.08321, 1.08960, 1.07028,2022.03.07 14:32:03, 1.08960,0.00,0.00,- 242.12
2022.03.07 13:00:00,49548219,#Japan225,sell,0.5,25 096.80,25 378.60,24 776.74,2022.03.07 15:20:23,25 382.20,0.00,0.00,- 108.24
2022.03.08 18:00:00,49635500,GOLD,buy,0.1,2 047.64,2 014.62,2 070.92,2022.03.08 19:30:00,2 037.30,0.00,0.00,- 78.77
2022.03.11 07:00:00,49761735,#Japan225,sell,0.5,25 068.80,25 439.40,24 536.15,2022.03.11 09:05:36,25 438.20,0.00,0.00,- 141.01
2022.03.11 21:00:00,49798054,#Japan225,sell,0.5,25 201.50,25 739.40,24 667.15,2022.03.14 05:30:00,25 373.20,0.00,- 1.89,- 65.97
2022.03.14 07:00:01,49817135,#Japan225,sell,1,25 348.80,25 504.40,24 833.77,2022.03.15 04:30:00,25 388.20,0.00,- 0.63,- 30.26
2022.03.16 20:30:00,50023838,EURUSD,sell,0.5, 1.09638, 1.09905, 1.08082,2022.03.16 20:52:05, 1.09910,0.00,0.00,- 103.82
2022.03.18 13:00:01,50111952,EURUSD,sell,0.5, 1.10383, 1.10980, 1.08761,2022.03.18 16:00:00, 1.10257,0.00,0.00, 47.98
2022.03.22 07:00:00,50208453,USDJPY,buy,0.5, 120.386, 119.378, 121.183,2022.03.23 00:55:34, 121.183,0.00,- 0.09, 247.81
2022.03.24 08:00:00,50352324,EURUSD,sell,0.5, 1.09772, 1.10116, 1.08232,2022.03.24 17:08:19, 1.10120,0.00,0.00,- 131.80
2022.03.28 07:00:00,50508413,USDJPY,buy,1, 123.089, 121.924, 124.112,2022.03.28 11:34:07, 124.113,0.00,0.00, 627.41
2022.03.28 14:00:00,50529432,USDJPY,buy,1, 124.266, 122.939, 125.303,2022.03.28 14:30:00, 124.012,0.00,0.00,- 155.90
2022.04.01 07:00:01,51106826,USDJPY,buy,2, 123.146, 122.658, 125.271,2022.04.07 07:30:00, 123.669,0.00,- 0.66, 647.28
2022.04.04 13:00:00,51343439,GOLD,buy,0.1,1 926.38,1 911.24,1 943.64,2022.04.05 17:00:36,1 943.95,0.00,- 0.34, 133.48
2022.04.11 07:00:00,51719191,USDJPY,buy,1, 124.877, 124.094, 126.461,2022.04.12 20:00:00, 125.233,0.00,- 0.29, 218.27
2022.04.11 13:00:00,51730129,GOLD,buy,0.1,1 958.31,1 935.60,1 973.76,2022.04.12 17:49:29,1 973.84,0.00,- 0.34, 119.06
2022.04.13 14:00:00,51881340,USDJPY,buy,1, 126.053, 125.477, 127.431,2022.04.13 14:30:00, 125.749,0.00,0.00,- 185.66
2022.04.14 18:00:00,51979291,GBPUSD,sell,0.2, 1.30466, 1.31217, 1.28702,2022.04.19 17:00:00, 1.30032,0.00,- 2.70, 66.75
2022.04.14 20:30:00,51984818,EURUSD,sell,1, 1.08150, 1.08731, 1.07124,2022.04.20 13:00:01, 1.08550,0.00, 4.26,- 306.96
2022.04.19 07:00:00,52043535,USDJPY,buy,1, 127.929, 127.124, 128.973,2022.04.19 18:30:00, 128.596,0.00,0.00, 398.85
2022.04.22 13:00:00,52199016,GBPUSD,sell,0.4, 1.27968, 1.28025, 1.25590,2022.04.25 14:30:00, 1.27366,0.00,- 1.65, 188.90
2022.04.22 13:00:00,52199017,EURUSD,sell,2, 1.07679, 1.07860, 1.06254,2022.04.27 09:11:13, 1.06253,0.00, 5.08,2 266.82
2022.04.26 18:00:00,52334710,GBPUSD,sell,0.2, 1.26176, 1.27165, 1.24459,2022.04.27 12:30:00, 1.25841,0.00,- 0.56, 53.24
2022.04.27 07:00:00,52354282,USDJPY,buy,2, 127.862, 127.119, 129.354,2022.04.28 06:12:50, 129.360,0.00,- 0.59,1 847.43
2022.04.27 18:00:00,52390639,GBPUSD,sell,0.4, 1.24702, 1.25266, 1.22474,2022.04.29 09:23:09, 1.25265,0.00,- 1.71,- 179.78
2022.04.28 07:00:00,52409205,USDJPY,buy,2, 130.157, 129.130, 132.023,2022.04.28 12:30:00, 130.247,0.00,0.00, 110.27
2022.05.05 08:00:00,52700917,GBPUSD,sell,0.2, 1.25463, 1.26098, 1.23143,2022.05.05 11:00:00, 1.25436,0.00,0.00, 4.30
2022.05.05 18:00:00,52735473,GBPUSD,sell,0.2, 1.23737, 1.25522, 1.21417,2022.05.06 17:30:00, 1.23518,0.00,- 0.47, 35.46
2022.05.12 13:00:00,53127921,EURUSD,sell,2, 1.03921, 1.04291, 1.02325,2022.05.16 11:40:08, 1.04292,0.00, 14.26,- 607.80
2022.05.13 07:00:00,53240687,USDJPY,buy,1, 129.095, 128.542, 130.717,2022.05.13 10:02:11, 128.539,0.00,0.00,- 354.48
2022.05.18 13:00:00,53498829,GBPUSD,sell,0.5, 1.24100, 1.24897, 1.21102,2022.05.19 03:30:00, 1.23616,0.00,- 1.01, 195.77
2022.05.24 13:00:00,53866484,GBPUSD,sell,0.5, 1.24901, 1.25692, 1.22012,2022.05.25 21:02:15, 1.25692,0.00,- 1.08,- 314.66
2022.05.31 07:00:00,54157267,USDJPY,buy,1, 128.094, 127.542, 129.309,2022.05.31 10:30:00, 127.766,0.00,0.00,- 203.43
2022.05.31 08:00:00,54157776,EURUSD,sell,1, 1.07441, 1.07828, 1.06164,2022.05.31 16:30:00, 1.07111,0.00,0.00, 262.28
2022.06.01 18:00:00,54255062,GBPUSD,sell,0.5, 1.24958, 1.26141, 1.22609,2022.06.02 13:00:00, 1.25435,0.00,- 1.16,- 190.14
2022.06.01 20:30:00,54265566,EURUSD,sell,1, 1.06423, 1.07106, 1.05182,2022.06.02 15:51:14, 1.07109,0.00, 1.66,- 546.10
2022.06.01 21:00:00,54267022,USDJPY,buy,1, 130.162, 129.114, 131.429,2022.06.06 04:30:00, 130.570,0.00, 3.87, 250.18
2022.06.06 21:00:00,54754836,USDJPY,buy,2, 132.226, 131.792, 133.891,2022.06.07 14:30:00, 132.769,0.00, 0.78, 654.63
2022.06.08 14:00:00,54889644,USDJPY,buy,1, 134.012, 132.849, 135.315,2022.06.09 14:30:00, 133.405,0.00, 0.76,- 362.91
2022.06.09 20:30:00,54966795,EURUSD,sell,0.5, 1.06284, 1.07318, 1.05119,2022.06.10 17:04:07, 1.05119,0.00, 0.95, 471.56
2022.06.10 18:00:00,55005620,GBPUSD,sell,0.25, 1.23426, 1.24311, 1.21080,2022.06.13 15:30:00, 1.22066,0.00,- 1.10, 278.54
2022.06.10 20:30:00,55012795,EURUSD,sell,0.5, 1.05250, 1.05940, 1.04007,2022.06.13 23:27:51, 1.04006,0.00, 1.60, 512.98
2022.06.13 07:00:00,55120984,USDJPY,buy,0.7, 134.918, 134.310, 136.300,2022.06.13 11:44:05, 134.302,0.00,0.00,- 262.56
2022.06.14 13:00:01,55206769,GBPUSD,sell,0.25, 1.21056, 1.21584, 1.18627,2022.06.15 13:00:00, 1.20912,0.00,- 0.57, 29.77
2022.06.16 07:00:00,55313917,USDJPY,buy,0.7, 134.311, 133.723, 135.931,2022.06.16 11:18:48, 133.720,0.00,0.00,- 255.83
2022.06.17 18:00:00,55414690,GBPUSD,sell,0.25, 1.21824, 1.23368, 1.18861,2022.06.17 18:30:00, 1.22095,0.00,0.00,- 55.49
2022.06.17 21:00:00,55429531,USDJPY,buy,1.4, 135.682, 135.605, 139.511,2022.06.22 07:00:00, 136.197,0.00, 2.47, 432.72
2022.06.22 08:00:00,55523831,EURUSD,sell,0.5, 1.04960, 1.05398, 1.03618,2022.06.22 16:03:30, 1.05399,0.00,0.00,- 179.03
2022.06.23 13:00:00,55591904,EURUSD,sell,1, 1.05186, 1.05682, 1.03807,2022.06.24 17:02:31, 1.05683,0.00, 1.74,- 403.52
2022.06.28 18:00:00,55771715,GBPUSD,sell,0.25, 1.22008, 1.22812, 1.18947,2022.06.29 13:30:00, 1.21833,0.00,- 0.31, 35.91
2022.06.29 19:00:00,55824502,EURUSD,sell,1, 1.04379, 1.04335, 1.02753,2022.06.30 17:43:28, 1.04335,0.00, 1.67, 36.19
2022.07.01 19:00:00,55938371,EURUSD,sell,0.5, 1.04067, 1.04676, 1.02646,2022.07.04 09:00:47, 1.04340,0.00, 1.78,- 112.78
2022.07.04 19:00:00,55987964,EURUSD,sell,1, 1.04265, 1.04712, 1.02661,2022.07.05 09:00:47, 1.04388,0.00, 3.56,- 101.52
2022.07.05 13:00:00,56008066,GBPUSD,sell,0.75, 1.19926, 1.20324, 1.16072,2022.07.05 19:00:46, 1.19637,0.00,0.00, 181.89
2022.07.05 14:00:47,56009676,EURUSD,sell,1, 1.02765, 1.03101, 1.01110,2022.07.07 09:00:00, 1.02190,0.00, 7.23, 480.83
2022.07.05 18:00:47,56033815,GOLD,sell,0.1,1 768.79,1 800.72,1 756.45,2022.07.06 16:50:49,1 756.26,0.00, 0.43, 105.07
2022.07.11 07:00:00,56201649,USDJPY,buy,0.7, 137.028, 136.003, 138.423,2022.07.14 08:38:53, 138.423,0.00, 5.29, 595.07
2022.07.11 09:00:00,56202887,EURUSD,sell,1, 1.01119, 1.01433, 0.98879,2022.07.14 15:57:09, 1.00038,0.00, 9.63, 914.41
2022.07.14 18:00:00,56349516,GBPUSD,sell,0.5, 1.17866, 1.18891, 1.15400,2022.07.14 20:30:00, 1.18031,0.00,0.00,- 69.90
2022.07.20 14:00:00,56508799,EURUSD,sell,0.5, 1.01971, 1.02562, 1.00197,2022.07.20 19:00:00, 1.02156,0.00,0.00,- 77.16
2022.07.22 09:00:00,56583900,EURUSD,sell,1, 1.01784, 1.02349, 0.99826,2022.07.22 16:50:54, 1.02350,0.00,0.00,- 470.31
2022.07.26 14:00:00,56707060,EURUSD,sell,0.5, 1.01510, 1.02031, 0.99838,2022.07.27 09:00:00, 1.01469,0.00, 1.51, 17.00
2022.07.27 19:00:00,56778472,EURUSD,sell,0.5, 1.01047, 1.01562, 0.99280,2022.07.27 21:36:31, 1.01565,0.00,0.00,- 214.61
2022.07.28 13:00:00,56808733,GBPUSD,sell,0.25, 1.21287, 1.21626, 1.18661,2022.07.28 16:00:00, 1.21392,0.00,0.00,- 21.62
2022.07.28 14:00:00,56810599,EURUSD,sell,0.5, 1.01333, 1.01848, 0.99564,2022.07.28 22:09:30, 1.01849,0.00,0.00,- 212.19
2022.07.29 19:00:00,56896044,EURUSD,sell,0.5, 1.02009, 1.02400, 1.00262,2022.08.01 04:33:55, 1.02401,0.00, 5.97,- 160.72
2022.08.02 21:00:00,57015114,USDJPY,buy,0.7, 132.794, 131.211, 135.129,2022.08.03 07:00:00, 132.600,0.00, 3.07,- 84.02
2022.08.03 18:00:00,57078691,GBPUSD,sell,0.25, 1.21084, 1.21787, 1.18468,2022.08.04 12:53:02, 1.21794,0.00, 0.34,- 145.74
2022.08.03 19:00:00,57082026,EURUSD,sell,0.5, 1.01439, 1.01957, 0.99827,2022.08.04 12:41:17, 1.01957,0.00, 1.99,- 212.75
2022.08.04 18:00:00,57136744,GBPUSD,sell,0.25, 1.21107, 1.21716, 1.18512,2022.08.04 21:19:52, 1.21716,0.00,0.00,- 125.09
2022.08.05 18:00:00,57185313,GBPUSD,sell,0.25, 1.20607, 1.21222, 1.18044,2022.08.08 10:54:05, 1.21229,0.00,0.00,- 128.27
2022.08.05 19:00:00,57188693,EURUSD,sell,1, 1.01794, 1.02416, 1.00289,2022.08.09 11:42:33, 1.02419,0.00, 9.80,- 516.08
2022.08.05 21:00:00,57193683,USDJPY,buy,0.7, 135.054, 133.750, 138.095,2022.08.10 15:30:05, 133.641,0.00, 14.95,- 607.69
2022.08.15 14:00:00,57433273,EURUSD,sell,1, 1.02008, 1.02570, 1.00463,2022.08.16 11:00:00, 1.01605,0.00, 3.76, 333.89
2022.08.18 18:00:00,57582288,GBPUSD,sell,0.25, 1.20023, 1.20633, 1.17510,2022.08.19 16:00:00, 1.18478,0.00,- 0.13, 326.01
2022.08.18 19:00:00,57585581,EURUSD,sell,0.5, 1.01119, 1.00434, 0.99873,2022.08.22 16:49:00, 0.99872,0.00, 7.87, 528.35
2022.08.18 21:00:50,57590749,USDJPY,buy,0.5, 135.903, 135.135, 137.846,2022.08.23 21:00:00, 136.784,0.00, 10.79, 272.38
2022.08.19 18:00:00,57630624,GBPUSD,sell,0.25, 1.18024, 1.18626, 1.15479,2022.08.22 19:30:00, 1.17765,0.00,- 0.18, 54.98
2022.08.22 19:00:00,57679826,EURUSD,sell,0.5, 0.99341, 0.99848, 0.98190,2022.08.23 16:45:49, 0.99850,0.00, 2.00,- 215.22
2022.08.26 18:00:00,57852062,GBPUSD,sell,0.25, 1.17905, 1.18591, 1.15527,2022.08.29 03:32:46, 1.16929,0.00,- 0.18, 208.67
2022.08.29 07:00:00,57879815,USDJPY,buy,0.5, 138.593, 137.511, 140.316,2022.09.01 17:02:48, 139.960,0.00, 6.61, 423.56
2022.08.30 18:08:24,57965975,GBPUSD,sell,0.25, 1.16496, 1.17080, 1.15000,2022.08.30 18:30:46, 1.16622,0.00,0.00,- 27.01
2022.09.01 09:00:47,58036246,EURUSD,sell,0.5, 1.00209, 1.00750, 0.98520,2022.09.01 17:02:48, 0.99525,0.00,0.00, 296.69
2022.09.01 18:00:46,58066209,GBPUSD,sell,0.25, 1.15245, 1.15806, 1.12891,2022.09.02 13:04:30, 1.15806,0.00,- 0.06,- 121.11
2022.09.01 19:00:46,58069887,EURUSD,sell,0.5, 0.99539, 0.99988, 0.97832,2022.09.02 12:54:16, 0.99988,0.00, 2.02,- 194.18
2022.09.05 09:00:47,58144779,EURUSD,sell,0.5, 0.98836, 0.99412, 0.97273,2022.09.05 13:18:44, 0.99416,0.00,0.00,- 251.87
2022.09.06 14:00:00,58191765,USDJPY,buy,1, 142.358, 141.622, 144.300,2022.09.07 07:23:15, 144.300,0.00, 4.21,1 174.61
2022.09.06 18:00:00,58213657,GBPUSD,sell,0.25, 1.15279, 1.15863, 1.13023,2022.09.07 08:00:00, 1.14798,0.00,- 0.07, 104.75
2022.09.09 18:00:00,58397167,GBPUSD,sell,0.25, 1.15815, 1.16492, 1.13492,2022.09.12 09:56:45, 1.16492,0.00,0.00,- 145.29
2022.09.09 19:00:00,58400251,EURUSD,sell,0.5, 1.00447, 1.01030, 0.98820,2022.09.12 00:00:05, 1.01081,0.00, 6.09,- 272.43
2022.09.09 21:00:00,58404072,USDJPY,buy,1, 143.569, 142.557, 147.353,2022.09.14 14:00:00, 143.261,0.00, 13.40,- 185.67
